peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score
chr1:819819-820319	ENSG00000078808	SDF4	chr1	819819	820319	1232030	-	411961	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000131584	ACAP3	chr1	819819	820319	1309608	-	489539	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000131591	C1orf159	chr1	819819	820319	1116360	-	296291	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000160087	UBE2J2	chr1	819819	820319	1273863	-	453794	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000162571	TTLL10	chr1	819819	820319	1173879	+	353810	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000162572	SCNN1D	chr1	819819	820319	1280435	+	460366	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000169972	PUSL1	chr1	819819	820319	1308596	+	488527	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000176022	B3GALT6	chr1	819819	820319	1232236	+	412167	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000184163	C1QTNF12	chr1	819819	820319	1246721	-	426652	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000186827	TNFRSF4	chr1	819819	820319	1214152	-	394083	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000186891	TNFRSF18	chr1	819819	820319	1206591	-	386522	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000187583	PLEKHN1	chr1	819819	820319	966481	+	146412	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000187608	ISG15	chr1	819819	820319	1001137	+	181068	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000187634	SAMD11	chr1	819819	820319	923922	+	103853	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000187642	PERM1	chr1	819819	820319	982116	-	162047	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000187961	KLHL17	chr1	819819	820319	960583	+	140514	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000188157	AGRN	chr1	819819	820319	1020119	+	200050	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000188290	HES4	chr1	819819	820319	1000171	-	180102	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000188976	NOC2L	chr1	819819	820319	959308	-	139239	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000237330	RNF223	chr1	819819	820319	1074305	-	254236	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000284662	OR4F16	chr1	819819	820319	686653	-	133416	epithelial	method1_distance	1.0
chr1:819819-820319	ENSG00000284733	OR4F29	chr1	819819	820319	500000	-	320069	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000078808	SDF4	chr1	820554	821054	1232030	-	411226	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000131584	ACAP3	chr1	820554	821054	1309608	-	488804	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000131591	C1orf159	chr1	820554	821054	1116360	-	295556	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000160087	UBE2J2	chr1	820554	821054	1273863	-	453059	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000162571	TTLL10	chr1	820554	821054	1173879	+	353075	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000162572	SCNN1D	chr1	820554	821054	1280435	+	459631	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000169972	PUSL1	chr1	820554	821054	1308596	+	487792	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000176022	B3GALT6	chr1	820554	821054	1232236	+	411432	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000184163	C1QTNF12	chr1	820554	821054	1246721	-	425917	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000186827	TNFRSF4	chr1	820554	821054	1214152	-	393348	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000186891	TNFRSF18	chr1	820554	821054	1206591	-	385787	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000187583	PLEKHN1	chr1	820554	821054	966481	+	145677	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000187608	ISG15	chr1	820554	821054	1001137	+	180333	epithelial	method1_distance	1.0
chr1:820554-821054	ENSG00000187634	SAMD11	chr1	820554	821054	923922	+	103118	epithelial	method1_distance	1.0
