peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score
chr1:904528-905028	ENSG00000187634	SAMD11	chr1	904528	905028	923922	+	19144	immune	method3_abc	0.022355081115727135
chr1:923614-924114	ENSG00000187634	SAMD11	chr1	923614	924114	923922	+	58	immune	method3_abc	0.05222599416932668
chr1:959063-959563	ENSG00000187583	PLEKHN1	chr1	959063	959563	966481	+	7168	immune	method3_abc	0.07244493271244087
chr1:959063-959563	ENSG00000187608	ISG15	chr1	959063	959563	1001137	+	41824	immune	method3_abc	0.021186442288796733
chr1:959063-959563	ENSG00000187634	SAMD11	chr1	959063	959563	923922	+	35391	immune	method3_abc	0.03463185121842208
chr1:959063-959563	ENSG00000187642	PERM1	chr1	959063	959563	982116	-	22803	immune	method3_abc	0.040060783507154196
chr1:959063-959563	ENSG00000187961	KLHL17	chr1	959063	959563	960583	+	1270	immune	method3_abc	0.12554884329971833
chr1:959063-959563	ENSG00000188290	HES4	chr1	959063	959563	1000171	-	40858	immune	method3_abc	0.02168922482169369
chr1:959063-959563	ENSG00000188976	NOC2L	chr1	959063	959563	959308	-	5	immune	method3_abc	0.15229293679069167
chr1:959617-960117	ENSG00000187961	KLHL17	chr1	959617	960117	960583	+	716	immune	method3_abc	0.02209673657289002
chr1:959617-960117	ENSG00000188976	NOC2L	chr1	959617	960117	959308	-	559	immune	method3_abc	0.022572366843997584
chr1:960299-960799	ENSG00000187583	PLEKHN1	chr1	960299	960799	966481	+	5932	immune	method3_abc	0.03213194880338662
chr1:960299-960799	ENSG00000187961	KLHL17	chr1	960299	960799	960583	+	34	immune	method3_abc	0.06140843120858608
chr1:960299-960799	ENSG00000188976	NOC2L	chr1	960299	960799	959308	-	1241	immune	method3_abc	0.05078637253114063
chr1:961056-961556	ENSG00000187961	KLHL17	chr1	961056	961556	960583	+	723	immune	method3_abc	0.022159669610119656
chr1:965962-966462	ENSG00000187583	PLEKHN1	chr1	965962	966462	966481	+	269	immune	method3_abc	0.04771671838384871
chr1:965962-966462	ENSG00000187961	KLHL17	chr1	965962	966462	960583	+	5629	immune	method3_abc	0.025223913303770502
chr1:965962-966462	ENSG00000188976	NOC2L	chr1	965962	966462	959308	-	6904	immune	method3_abc	0.022789450667203143
chr1:966730-967230	ENSG00000187583	PLEKHN1	chr1	966730	967230	966481	+	499	immune	method3_abc	0.07733093414929487
chr1:966730-967230	ENSG00000187642	PERM1	chr1	966730	967230	982116	-	15136	immune	method3_abc	0.02837094951558375
chr1:966730-967230	ENSG00000187961	KLHL17	chr1	966730	967230	960583	+	6397	immune	method3_abc	0.03992813944985535
chr1:966730-967230	ENSG00000188976	NOC2L	chr1	966730	967230	959308	-	7672	immune	method3_abc	0.03630257189374628
chr1:998916-999416	ENSG00000188290	HES4	chr1	998916	999416	1000171	-	1005	immune	method3_abc	0.021243652916321635
chr1:999897-1000397	ENSG00000187608	ISG15	chr1	999897	1000397	1001137	+	990	immune	method3_abc	0.04531020192445956
chr1:999897-1000397	ENSG00000188290	HES4	chr1	999897	1000397	1000171	-	24	immune	method3_abc	0.05308278394078332
chr1:1000608-1001108	ENSG00000187608	ISG15	chr1	1000608	1001108	1001137	+	279	immune	method3_abc	0.029517183507356742
chr1:1000608-1001108	ENSG00000188290	HES4	chr1	1000608	1001108	1000171	-	687	immune	method3_abc	0.027813522200535547
chr1:1001744-1002244	ENSG00000187608	ISG15	chr1	1001744	1002244	1001137	+	857	immune	method3_abc	0.039654351236836374
chr1:1001744-1002244	ENSG00000188290	HES4	chr1	1001744	1002244	1000171	-	1823	immune	method3_abc	0.03490754110015907
chr1:1013194-1013694	ENSG00000187608	ISG15	chr1	1013194	1013694	1001137	+	12307	immune	method3_abc	0.0456545954534889
chr1:1013194-1013694	ENSG00000187642	PERM1	chr1	1013194	1013694	982116	-	31328	immune	method3_abc	0.02877669460593565
chr1:1013194-1013694	ENSG00000188157	AGRN	chr1	1013194	1013694	1020119	+	6675	immune	method3_abc	0.053351313798886
chr1:1013194-1013694	ENSG00000188290	HES4	chr1	1013194	1013694	1000171	-	13273	immune	method3_abc	0.04377966391600498
chr1:1019282-1019782	ENSG00000187583	PLEKHN1	chr1	1019282	1019782	966481	+	53051	immune	method3_abc	0.026706760522380715
chr1:1019282-1019782	ENSG00000187608	ISG15	chr1	1019282	1019782	1001137	+	18395	immune	method3_abc	0.05561801994605551
chr1:1019282-1019782	ENSG00000187634	SAMD11	chr1	1019282	1019782	923922	+	95610	immune	method3_abc	0.022471520113813866
chr1:1019282-1019782	ENSG00000187642	PERM1	chr1	1019282	1019782	982116	-	37416	immune	method3_abc	0.03982128519850664
chr1:1019282-1019782	ENSG00000187961	KLHL17	chr1	1019282	1019782	960583	+	58949	immune	method3_abc	0.023897201459625483
chr1:1019282-1019782	ENSG00000188157	AGRN	chr1	1019282	1019782	1020119	+	587	immune	method3_abc	0.16040883526205327
chr1:1019282-1019782	ENSG00000188290	HES4	chr1	1019282	1019782	1000171	-	19361	immune	method3_abc	0.05398055761572883
chr1:1019282-1019782	ENSG00000188976	NOC2L	chr1	1019282	1019782	959308	-	60224	immune	method3_abc	0.023421450458918185
chr1:1019282-1019782	ENSG00000237330	RNF223	chr1	1019282	1019782	1074305	-	54773	immune	method3_abc	0.024255722917022358
chr1:1019858-1020358	ENSG00000188157	AGRN	chr1	1019858	1020358	1020119	+	11	immune	method3_abc	0.05778884141043505
chr1:1020415-1020915	ENSG00000188157	AGRN	chr1	1020415	1020915	1020119	+	546	immune	method3_abc	0.02064792076373298
chr1:1032939-1033439	ENSG00000188157	AGRN	chr1	1032939	1033439	1020119	+	13070	immune	method3_abc	0.025213016508065685
chr1:1059423-1059923	ENSG00000237330	RNF223	chr1	1059423	1059923	1074305	-	14632	immune	method3_abc	0.028670114058786087
chr1:1063741-1064241	ENSG00000237330	RNF223	chr1	1063741	1064241	1074305	-	10314	immune	method3_abc	0.022384859534628175
chr1:1068526-1069026	ENSG00000237330	RNF223	chr1	1068526	1069026	1074305	-	5529	immune	method3_abc	0.025233320254740496
chr1:1069125-1069625	ENSG00000237330	RNF223	chr1	1069125	1069625	1074305	-	4930	immune	method3_abc	0.07258820623244856
chr1:1079770-1080270	ENSG00000237330	RNF223	chr1	1079770	1080270	1074305	-	5715	immune	method3_abc	0.02093625063470318
chr1:1115950-1116450	ENSG00000131591	C1orf159	chr1	1115950	1116450	1116360	-	160	immune	method3_abc	0.23561142352743106
chr1:1115950-1116450	ENSG00000162571	TTLL10	chr1	1115950	1116450	1173879	+	57679	immune	method3_abc	0.03221655628097051
chr1:1115950-1116450	ENSG00000237330	RNF223	chr1	1115950	1116450	1074305	-	41895	immune	method3_abc	0.040663380636859765
chr1:1116470-1116970	ENSG00000131591	C1orf159	chr1	1116470	1116970	1116360	-	360	immune	method3_abc	0.050122389147807596
chr1:1122044-1122544	ENSG00000131591	C1orf159	chr1	1122044	1122544	1116360	-	5934	immune	method3_abc	0.027143474615189286
chr1:1157371-1157871	ENSG00000162571	TTLL10	chr1	1157371	1157871	1173879	+	16258	immune	method3_abc	0.023392453673990288
chr1:1158024-1158524	ENSG00000162571	TTLL10	chr1	1158024	1158524	1173879	+	15605	immune	method3_abc	0.022393714587316847
chr1:1173596-1174096	ENSG00000162571	TTLL10	chr1	1173596	1174096	1173879	+	33	immune	method3_abc	0.0255689949246879
chr1:1201235-1201735	ENSG00000186827	TNFRSF4	chr1	1201235	1201735	1214152	-	12667	immune	method3_abc	0.023792428594901705
chr1:1201235-1201735	ENSG00000186891	TNFRSF18	chr1	1201235	1201735	1206591	-	5106	immune	method3_abc	0.03881555271630724
chr1:1205728-1206228	ENSG00000186891	TNFRSF18	chr1	1205728	1206228	1206591	-	613	immune	method3_abc	0.02360360473042905
chr1:1206405-1206905	ENSG00000186827	TNFRSF4	chr1	1206405	1206905	1214152	-	7497	immune	method3_abc	0.023922393671893222
chr1:1206405-1206905	ENSG00000186891	TNFRSF18	chr1	1206405	1206905	1206591	-	64	immune	method3_abc	0.052678752071763875
chr1:1207948-1208448	ENSG00000186827	TNFRSF4	chr1	1207948	1208448	1214152	-	5954	immune	method3_abc	0.022578737621008402
chr1:1207948-1208448	ENSG00000186891	TNFRSF18	chr1	1207948	1208448	1206591	-	1607	immune	method3_abc	0.03517576349902148
chr1:1208789-1209289	ENSG00000186827	TNFRSF4	chr1	1208789	1209289	1214152	-	5113	immune	method3_abc	0.02419041105940225
chr1:1208789-1209289	ENSG00000186891	TNFRSF18	chr1	1208789	1209289	1206591	-	2448	immune	method3_abc	0.031676244415632236
chr1:1212804-1213304	ENSG00000186827	TNFRSF4	chr1	1212804	1213304	1214152	-	1098	immune	method3_abc	0.052188787310423264
chr1:1212804-1213304	ENSG00000186891	TNFRSF18	chr1	1212804	1213304	1206591	-	6463	immune	method3_abc	0.030242667064052497
chr1:1213420-1213920	ENSG00000186827	TNFRSF4	chr1	1213420	1213920	1214152	-	482	immune	method3_abc	0.037648045892701314
chr1:1231334-1231834	ENSG00000078808	SDF4	chr1	1231334	1231834	1232030	-	446	immune	method3_abc	0.0338886178112662
chr1:1231334-1231834	ENSG00000176022	B3GALT6	chr1	1231334	1231834	1232236	+	652	immune	method3_abc	0.032942506477762236
chr1:1231839-1232339	ENSG00000078808	SDF4	chr1	1231839	1232339	1232030	-	59	immune	method3_abc	0.24262653959091
chr1:1231839-1232339	ENSG00000131584	ACAP3	chr1	1231839	1232339	1309608	-	77519	immune	method3_abc	0.021233117836979832
chr1:1231839-1232339	ENSG00000160087	UBE2J2	chr1	1231839	1232339	1273863	-	41774	immune	method3_abc	0.04214326299986685
chr1:1231839-1232339	ENSG00000162571	TTLL10	chr1	1231839	1232339	1173879	+	58210	immune	method3_abc	0.03883229853987308
chr1:1231839-1232339	ENSG00000162572	SCNN1D	chr1	1231839	1232339	1280435	+	48346	immune	method3_abc	0.04102542951606776
chr1:1231839-1232339	ENSG00000169972	PUSL1	chr1	1231839	1232339	1308596	+	76507	immune	method3_abc	0.020666632954574233
chr1:1231839-1232339	ENSG00000176022	B3GALT6	chr1	1231839	1232339	1232236	+	147	immune	method3_abc	0.2399681271563366
chr1:1231839-1232339	ENSG00000184163	C1QTNF12	chr1	1231839	1232339	1246721	-	14632	immune	method3_abc	0.0982196601957514
chr1:1231839-1232339	ENSG00000186827	TNFRSF4	chr1	1231839	1232339	1214152	-	17937	immune	method3_abc	0.07290718838117462
chr1:1231839-1232339	ENSG00000186891	TNFRSF18	chr1	1231839	1232339	1206591	-	25498	immune	method3_abc	0.05710057263764162
chr1:1232407-1232907	ENSG00000078808	SDF4	chr1	1232407	1232907	1232030	-	627	immune	method3_abc	0.03418680886912265
chr1:1232407-1232907	ENSG00000176022	B3GALT6	chr1	1232407	1232907	1232236	+	421	immune	method3_abc	0.03545532812063693
chr1:1273648-1274148	ENSG00000160087	UBE2J2	chr1	1273648	1274148	1273863	-	35	immune	method3_abc	0.14614082257523509
chr1:1273648-1274148	ENSG00000162572	SCNN1D	chr1	1273648	1274148	1280435	+	6537	immune	method3_abc	0.07753359942510601
chr1:1273648-1274148	ENSG00000184163	C1QTNF12	chr1	1273648	1274148	1246721	-	27177	immune	method3_abc	0.031870726266054285
chr1:1274151-1274651	ENSG00000160087	UBE2J2	chr1	1274151	1274651	1273863	-	538	immune	method3_abc	0.04483268351678979
chr1:1274151-1274651	ENSG00000162572	SCNN1D	chr1	1274151	1274651	1280435	+	6034	immune	method3_abc	0.02686171781128521
chr1:1307710-1308210	ENSG00000107404	DVL1	chr1	1307710	1308210	1349417	-	41457	immune	method3_abc	0.02171883364737628
chr1:1307710-1308210	ENSG00000127054	INTS11	chr1	1307710	1308210	1324686	-	16726	immune	method3_abc	0.03990784607418545
chr1:1307710-1308210	ENSG00000131584	ACAP3	chr1	1307710	1308210	1309608	-	1648	immune	method3_abc	0.10626828527707019
chr1:1307710-1308210	ENSG00000160087	UBE2J2	chr1	1307710	1308210	1273863	-	34097	immune	method3_abc	0.02755474750456656
chr1:1307710-1308210	ENSG00000162572	SCNN1D	chr1	1307710	1308210	1280435	+	27525	immune	method3_abc	0.03529651602942226
chr1:1307710-1308210	ENSG00000162576	MXRA8	chr1	1307710	1308210	1361776	-	53816	immune	method3_abc	0.02041304671613733
chr1:1307710-1308210	ENSG00000169962	TAS1R3	chr1	1307710	1308210	1331279	+	23319	immune	method3_abc	0.034489975195505194
chr1:1307710-1308210	ENSG00000169972	PUSL1	chr1	1307710	1308210	1308596	+	636	immune	method3_abc	0.11813910614590112
chr1:1307710-1308210	ENSG00000224051	CPTP	chr1	1307710	1308210	1324755	+	16795	immune	method3_abc	0.03983512447932371
chr1:1308274-1308774	ENSG00000107404	DVL1	chr1	1308274	1308774	1349417	-	40893	immune	method3_abc	0.02862789149717943
chr1:1308274-1308774	ENSG00000127054	INTS11	chr1	1308274	1308774	1324686	-	16162	immune	method3_abc	0.05325177866648701
chr1:1308274-1308774	ENSG00000131584	ACAP3	chr1	1308274	1308774	1309608	-	1084	immune	method3_abc	0.14970558640589224
chr1:1308274-1308774	ENSG00000160087	UBE2J2	chr1	1308274	1308774	1273863	-	34661	immune	method3_abc	0.03549135680298383
chr1:1308274-1308774	ENSG00000162572	SCNN1D	chr1	1308274	1308774	1280435	+	28089	immune	method3_abc	0.04534964481706743
chr1:1308274-1308774	ENSG00000162576	MXRA8	chr1	1308274	1308774	1361776	-	53252	immune	method3_abc	0.026846410917983905
chr1:1308274-1308774	ENSG00000169962	TAS1R3	chr1	1308274	1308774	1331279	+	22755	immune	method3_abc	0.04577533784834695
chr1:1308274-1308774	ENSG00000169972	PUSL1	chr1	1308274	1308774	1308596	+	72	immune	method3_abc	0.16887690347136425
chr1:1308274-1308774	ENSG00000184163	C1QTNF12	chr1	1308274	1308774	1246721	-	61803	immune	method3_abc	0.0246928941396558
chr1:1308274-1308774	ENSG00000224051	CPTP	chr1	1308274	1308774	1324755	+	16231	immune	method3_abc	0.05315083966032666
chr1:1309015-1309515	ENSG00000131584	ACAP3	chr1	1309015	1309515	1309608	-	343	immune	method3_abc	0.025959331382141078
chr1:1309015-1309515	ENSG00000169972	PUSL1	chr1	1309015	1309515	1308596	+	669	immune	method3_abc	0.023741577446689307
chr1:1324442-1324942	ENSG00000107404	DVL1	chr1	1324442	1324942	1349417	-	24725	immune	method3_abc	0.03414876222649672
chr1:1324442-1324942	ENSG00000127054	INTS11	chr1	1324442	1324942	1324686	-	6	immune	method3_abc	0.1525786035784011
chr1:1324442-1324942	ENSG00000131584	ACAP3	chr1	1324442	1324942	1309608	-	15084	immune	method3_abc	0.04329972574797824
chr1:1324442-1324942	ENSG00000160087	UBE2J2	chr1	1324442	1324942	1273863	-	50829	immune	method3_abc	0.021548305960956377
chr1:1324442-1324942	ENSG00000162572	SCNN1D	chr1	1324442	1324942	1280435	+	44257	immune	method3_abc	0.026226102300263964
chr1:1324442-1324942	ENSG00000162576	MXRA8	chr1	1324442	1324942	1361776	-	37084	immune	method3_abc	0.029121053332630303
chr1:1324442-1324942	ENSG00000169962	TAS1R3	chr1	1324442	1324942	1331279	+	6587	immune	method3_abc	0.08001397921469738
chr1:1324442-1324942	ENSG00000169972	PUSL1	chr1	1324442	1324942	1308596	+	16096	immune	method3_abc	0.03994885293838057
chr1:1324442-1324942	ENSG00000175756	AURKAIP1	chr1	1324442	1324942	1375206	-	50514	immune	method3_abc	0.020230698453585123
chr1:1324442-1324942	ENSG00000224051	CPTP	chr1	1324442	1324942	1324755	+	63	immune	method3_abc	0.15122435469378642
chr1:1324961-1325461	ENSG00000127054	INTS11	chr1	1324961	1325461	1324686	-	525	immune	method3_abc	0.04929246774220113
chr1:1324961-1325461	ENSG00000169962	TAS1R3	chr1	1324961	1325461	1331279	+	6068	immune	method3_abc	0.02931159555129608
chr1:1324961-1325461	ENSG00000224051	CPTP	chr1	1324961	1325461	1324755	+	456	immune	method3_abc	0.049880973119143364
chr1:1330271-1330771	ENSG00000169962	TAS1R3	chr1	1330271	1330771	1331279	+	758	immune	method3_abc	0.02082968392505236
chr1:1330962-1331462	ENSG00000169962	TAS1R3	chr1	1330962	1331462	1331279	+	67	immune	method3_abc	0.03347601352378393
chr1:1348448-1348948	ENSG00000107404	DVL1	chr1	1348448	1348948	1349417	-	719	immune	method3_abc	0.020296487384813874
chr1:1349197-1349697	ENSG00000107404	DVL1	chr1	1349197	1349697	1349417	-	30	immune	method3_abc	0.17380849998930145
chr1:1349197-1349697	ENSG00000127054	INTS11	chr1	1349197	1349697	1324686	-	24761	immune	method3_abc	0.03510924576045541
chr1:1349197-1349697	ENSG00000131584	ACAP3	chr1	1349197	1349697	1309608	-	39839	immune	method3_abc	0.023359758708987113
chr1:1349197-1349697	ENSG00000162576	MXRA8	chr1	1349197	1349697	1361776	-	12329	immune	method3_abc	0.06837543533106465
